timestamp,open,high,low,close
2024-12-11,1.05552,1.05675,1.05003,1.05238
2024-12-08,1.05012,1.06264,1.04740,1.05655
2024-12-01,1.04443,1.05955,1.04273,1.05451
2024-11-24,1.05949,1.06123,1.03399,1.04799
2024-11-17,1.06644,1.06635,1.04992,1.05337
2024-11-10,1.08741,1.09334,1.06288,1.07149
2024-11-03,1.08168,1.09158,1.07704,1.08745
2024-10-27,1.08178,1.08425,1.07626,1.07966
2024-10-20,1.09092,1.09182,1.08139,1.08686
2024-10-13,1.09757,1.09975,1.09057,1.09254
2024-10-06,1.11366,1.11458,1.09555,1.09745
2024-09-29,1.11117,1.12124,1.11040,1.11698
2024-09-22,1.11295,1.11817,1.10705,1.11608
2024-09-15,1.10375,1.11354,1.10028,1.10884
2024-09-08,1.10675,1.11496,1.10337,1.10872
2024-09-01,1.11647,1.11819,1.10425,1.10448
2024-08-25,1.10865,1.12011,1.10725,1.11879
2024-08-18,1.09363,1.10726,1.09157,1.10250
2024-08-11,1.09510,1.09631,1.08823,1.09138
2024-08-04,1.08195,1.10074,1.07783,1.09108
2024-07-28,1.08898,1.09004,1.08031,1.08538
2024-07-21,1.09016,1.09472,1.08722,1.08992
2024-07-14,1.08309,1.09219,1.08062,1.08855
2024-07-07,1.07371,1.08472,1.07106,1.08260
2024-06-30,1.07327,1.07782,1.06677,1.07353
2024-06-23,1.07407,1.07612,1.06719,1.06878
2024-06-16,1.07643,1.08518,1.06682,1.07022
2024-06-09,1.09074,1.09182,1.07336,1.07789
2024-06-02,1.08619,1.08909,1.07890,1.08530
2024-05-26,1.08608,1.08755,1.08061,1.08476
2024-05-19,1.07935,1.08968,1.07764,1.08755
2024-05-12,1.07675,1.08073,1.07251,1.07704
2024-05-05,1.07157,1.08094,1.06501,1.07581
2024-04-28,1.06540,1.07529,1.06393,1.07069
2024-04-21,1.06258,1.06918,1.06041,1.06583
2024-04-14,1.08637,1.08885,1.06236,1.06496
2024-04-07,1.07372,1.08758,1.07254,1.08305
2024-03-31,1.08382,1.08641,1.07316,1.07927
2024-03-24,1.08739,1.09445,1.08026,1.08075
2024-03-17,1.09313,1.09547,1.08738,1.08826
2024-03-10,1.08552,1.09780,1.08427,1.09430
2024-03-03,1.08509,1.08665,1.07987,1.08427
2024-02-25,1.07754,1.08862,1.07625,1.08201
2024-02-18,1.07723,1.07956,1.06955,1.07849
2024-02-11,1.07418,1.08054,1.07245,1.07982
2024-02-04,1.08345,1.08980,1.07247,1.07800
2024-01-28,1.08802,1.09315,1.07971,1.08435
2024-01-21,1.09457,1.09467,1.08454,1.08923
2024-01-14,1.09517,1.09914,1.09126,1.09457
2024-01-07,1.10387,1.10461,1.08798,1.09422
2023-12-31,1.10203,1.11394,1.10096,1.10558
2023-12-24,1.09238,1.10424,1.09161,1.10266
2023-12-17,1.07666,1.10059,1.07618,1.08953
2023-12-10,1.08378,1.08483,1.07315,1.07658
2023-12-03,1.09584,1.10169,1.08057,1.08882
2023-11-26,1.09459,1.09673,1.08546,1.09404
2023-11-19,1.07018,1.09451,1.06936,1.09070
2023-11-12,1.07216,1.07280,1.06577,1.06902
2023-11-05,1.06150,1.07570,1.05229,1.07322
2023-10-29,1.06699,1.06905,1.05263,1.05625
2023-10-22,1.05543,1.06474,1.05271,1.05900
2023-10-15,1.05789,1.06391,1.04961,1.05215
2023-10-08,1.04808,1.05982,1.04499,1.05675
2023-10-01,1.05916,1.06180,1.04919,1.05652
