timestamp,open,high,low,close
2024-12-11,1.05307,1.05394,1.05201,1.05239
2024-12-10,1.05307,1.05363,1.05307,1.05352
2024-12-09,1.05552,1.05675,1.05003,1.05552
2024-12-08,1.05655,1.05928,1.05331,1.05655
2024-12-05,1.05856,1.06264,1.05461,1.05856
2024-12-04,1.05141,1.05883,1.05089,1.05141
2024-12-03,1.05108,1.05401,1.04740,1.05108
2024-12-02,1.05012,1.05303,1.04818,1.05012
2024-12-01,1.05457,1.05457,1.04622,1.05451
2024-11-28,1.05630,1.05955,1.05430,1.05630
2024-11-27,1.05625,1.05652,1.05292,1.05625
2024-11-26,1.04912,1.05835,1.04755,1.04912
2024-11-25,1.04443,1.05438,1.04273,1.04443
2024-11-24,1.04799,1.05296,1.04495,1.04799
2024-11-21,1.04693,1.04987,1.03399,1.04693
2024-11-20,1.05462,1.05574,1.04691,1.05462
2024-11-19,1.06076,1.06123,1.05085,1.06076
2024-11-18,1.05949,1.06011,1.05285,1.05949
2024-11-17,1.05337,1.05865,1.05312,1.05337
2024-11-14,1.05301,1.05916,1.05244,1.05301
2024-11-13,1.05641,1.05809,1.04992,1.05641
2024-11-12,1.06167,1.06491,1.05598,1.06167
2024-11-11,1.06644,1.06635,1.05970,1.06644
2024-11-10,1.07149,1.07285,1.06288,1.07149
2024-11-07,1.07952,1.07974,1.07104,1.07952
2024-11-06,1.07331,1.08260,1.07141,1.07331
2024-11-05,1.09345,1.09334,1.06838,1.09345
2024-11-04,1.08741,1.09218,1.08733,1.08741
2024-11-03,1.08745,1.09158,1.08704,1.08745
2024-10-31,1.08861,1.09041,1.08485,1.08861
2024-10-30,1.08592,1.08884,1.08451,1.08592
2024-10-29,1.08206,1.08667,1.08100,1.08206
2024-10-28,1.08168,1.08263,1.07704,1.08168
2024-10-27,1.07966,1.08272,1.07827,1.07966
2024-10-24,1.08241,1.08425,1.08119,1.08241
2024-10-23,1.07805,1.08102,1.07716,1.07805
2024-10-22,1.07973,1.08085,1.07626,1.07973
2024-10-21,1.08178,1.08378,1.08019,1.08178
2024-10-20,1.08686,1.08696,1.08211,1.08686
2024-10-17,1.08295,1.08637,1.08282,1.08295
2024-10-16,1.08625,1.08699,1.08139,1.08625
2024-10-15,1.08841,1.09016,1.08682,1.08841
2024-10-14,1.09092,1.09182,1.08858,1.09092
2024-10-13,1.09254,1.09397,1.09057,1.09254
2024-10-10,1.09339,1.09542,1.09274,1.09339
2024-10-09,1.09433,1.09545,1.09140,1.09433
2024-10-08,1.09757,1.09806,1.09407,1.09757
2024-10-07,1.09757,1.09975,1.09617,1.09757
2024-10-06,1.09745,1.09850,1.09555,1.09745
2024-10-03,1.10356,1.10400,1.09561,1.10356
2024-10-02,1.10485,1.10485,1.10096,1.10485
2024-10-01,1.10639,1.10822,1.10341,1.10639
2024-09-30,1.11366,1.11458,1.10611,1.11366
2024-09-29,1.11698,1.12084,1.11361,1.11698
2024-09-26,1.11772,1.11998,1.11266,1.11772
2024-09-25,1.11310,1.11896,1.11268,1.11310
2024-09-24,1.11912,1.12124,1.11417,1.11912
2024-09-23,1.11117,1.11635,1.11040,1.11117
2024-09-22,1.11608,1.11682,1.10849,1.11608
2024-09-19,1.11620,1.11817,1.11373,1.11620
2024-09-18,1.11148,1.11807,1.10705,1.11148
2024-09-17,1.11231,1.11408,1.11091,1.11231
2024-09-16,1.11295,1.11462,1.11131,1.11295
2024-09-15,1.10884,1.11354,1.10871,1.10884
2024-09-12,1.10779,1.11025,1.10739,1.10779
2024-09-11,1.10109,1.10475,1.10065,1.10109
2024-09-10,1.10210,1.10550,1.10028,1.10210
2024-09-09,1.10375,1.10503,1.10163,1.10375
2024-09-08,1.10872,1.10914,1.10350,1.10872
2024-09-05,1.11111,1.11496,1.10672,1.11111
2024-09-04,1.10804,1.11211,1.10752,1.10804
2024-09-03,1.10489,1.10940,1.10408,1.10489
2024-09-02,1.10675,1.10705,1.10337,1.10675
2024-09-01,1.10448,1.10776,1.10425,1.10448
2024-08-29,1.10804,1.10957,1.10540,1.10804
2024-08-28,1.11250,1.11402,1.10563,1.11250
2024-08-27,1.11779,1.11819,1.11054,1.11779
2024-08-26,1.11647,1.11796,1.11513,1.11647
2024-08-25,1.11879,1.12011,1.11529,1.11879
2024-08-22,1.11172,1.11959,1.11068,1.11172
2024-08-21,1.11554,1.11575,1.10993,1.11554
2024-08-20,1.11279,1.11483,1.11056,1.11279
2024-08-19,1.10865,1.11173,1.10725,1.10865
2024-08-18,1.10250,1.10726,1.10239,1.10250
2024-08-15,1.09727,1.10044,1.09737,1.09727
2024-08-14,1.10132,1.10169,1.09505,1.10132
2024-08-13,1.09970,1.10485,1.09883,1.09970
2024-08-12,1.09363,1.09625,1.09157,1.09363
2024-08-11,1.09138,1.09397,1.09133,1.09138
2024-08-08,1.09157,1.09313,1.09096,1.09157
2024-08-07,1.09281,1.09469,1.08823,1.09281
2024-08-06,1.09262,1.09364,1.09069,1.09262
2024-08-05,1.09510,1.09631,1.09047,1.09510
2024-08-04,1.09108,1.10074,1.08937,1.09108
2024-08-01,1.07876,1.09262,1.07830,1.07876
2024-07-31,1.08239,1.08378,1.07783,1.08239
2024-07-30,1.08161,1.08519,1.08087,1.08161
2024-07-29,1.08195,1.08378,1.08000,1.08195
2024-07-28,1.08538,1.08719,1.08031,1.08538
2024-07-25,1.08513,1.08685,1.08427,1.08513
2024-07-24,1.08395,1.08644,1.08293,1.08395
